time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0003,774,511,0,1,1,1
0.0004,812,511,0,1,1,1
0.0005,775,512,0,1,1,1
0.0006,774,511,0,1,1,1
0.0007,774,512,0,1,1,1
0.0007,812,512,0,1,1,1
0.0008,779,512,0,1,1,1
0.0009,774,512,0,1,1,1
0.0010,774,512,0,1,1,1
0.0010,811,512,0,1,1,1
0.0011,778,511,0,1,1,1
0.0012,773,512,0,1,1,1
0.0013,773,512,0,1,1,1
0.0013,812,512,0,1,1,1
0.0014,779,512,0,1,1,1
0.0015,773,511,0,1,1,1
0.0016,774,512,0,1,1,1
0.0017,774,512,0,1,1,1
0.0017,773,512,0,1,1,1
0.0018,773,512,0,1,1,1
0.0019,812,512,0,1,1,1
0.0019,775,512,0,1,1,1
0.0020,784,511,0,1,1,1
0.0021,783,512,0,1,1,1
0.0022,783,512,0,1,1,1
0.0022,784,511,0,1,1,1
0.0023,784,514,0,1,1,1
0.0024,783,511,0,1,1,1
0.0025,783,512,0,1,1,1
0.0025,783,512,0,1,1,1
0.0026,784,512,0,1,1,1
0.0027,784,511,0,1,1,1
0.0028,774,512,0,1,1,1
0.0028,772,512,0,1,1,1
0.0029,772,512,0,1,1,1
0.0030,773,512,0,1,1,1
0.0031,774,512,0,1,1,1
0.0031,811,512,0,1,1,1
0.0032,778,512,0,1,1,1
0.0033,773,512,0,1,1,1
0.0034,773,512,0,1,1,1
0.0035,773,511,0,1,1,1
0.0035,774,512,0,1,1,1
0.0036,772,512,0,1,1,1
0.0037,810,512,0,1,1,1
0.0037,776,512,0,1,1,1
0.0037,772,512,0,1,1,1
0.0038,773,512,0,1,1,1
0.0038,811,512,0,1,1,1
0.0039,776,512,0,1,1,1
0.0039,773,512,0,1,1,1
0.0040,773,512,0,1,1,1
0.0040,772,512,0,1,1,1
0.0041,772,512,0,1,1,1
0.0041,772,512,0,1,1,1
0.0041,773,512,0,1,1,1
0.0042,773,511,0,1,1,1
0.0042,774,511,0,1,1,1
0.0043,772,512,0,1,1,1
0.0043,811,512,0,1,1,1
0.0044,776,512,0,1,1,1
0.0044,772,512,0,1,1,1
0.0045,773,512,0,1,1,1
0.0045,771,512,0,1,1,1
0.0046,792,512,0,1,1,1
0.0046,784,512,0,1,1,1
0.0046,784,512,0,1,1,1
0.0047,783,512,0,1,1,1
0.0047,783,511,0,1,1,1
0.0048,782,512,0,1,1,1
0.0048,784,512,0,1,1,1
0.0049,783,512,0,1,1,1
0.0049,783,512,0,1,1,1
0.0049,783,512,0,1,1,1
0.0050,783,512,0,1,1,1
0.0050,772,512,0,1,1,1
0.0051,772,512,0,1,1,1
0.0051,773,511,0,1,1,1
0.0052,773,512,0,1,1,1
0.0052,772,512,0,1,1,1
0.0053,810,512,0,1,1,1
0.0053,778,512,0,1,1,1
0.0053,773,511,0,1,1,1
0.0054,773,511,0,1,1,1
0.0054,772,512,0,1,1,1
0.0055,772,512,0,1,1,1
0.0055,773,512,0,1,1,1
0.0056,811,512,0,1,1,1
0.0056,776,511,0,1,1,1
0.0057,772,511,0,1,1,1
0.0057,773,512,0,1,1,1
0.0057,771,512,0,1,1,1
0.0058,772,512,0,1,1,1
0.0058,772,512,0,1,1,1
0.0058,772,512,0,1,1,1
0.0059,773,512,0,1,1,1
0.0059,773,512,0,1,1,1
0.0060,772,512,0,1,1,1
0.0060,811,512,0,1,1,1
0.0061,775,511,0,1,1,1
0.0061,772,512,0,1,1,1
0.0061,772,512,0,1,1,1
0.0062,771,512,0,1,1,1
0.0062,773,512,0,1,1,1
0.0062,772,512,0,1,1,1
0.0063,772,512,0,1,1,1
0.0063,772,512,0,1,1,1
0.0064,783,512,0,1,1,1
0.0064,783,512,0,1,1,1
0.0064,783,512,0,1,1,1
0.0065,782,512,0,1,1,1
0.0065,784,512,0,1,1,1
0.0066,783,512,0,1,1,1
0.0066,783,512,0,1,1,1
0.0066,782,512,0,1,1,1
0.0067,782,512,0,1,1,1
0.0067,783,512,0,1,1,1
0.0067,772,512,0,1,1,1
0.0068,772,512,0,1,1,1
0.0068,772,512,0,1,1,1
0.0069,773,512,0,1,1,1
0.0069,773,511,0,1,1,1
0.0069,772,512,0,1,1,1
0.0070,772,512,0,1,1,1
0.0070,772,512,0,1,1,1
0.0071,773,512,0,1,1,1
0.0071,773,512,0,1,1,1
0.0071,771,511,0,1,1,1
0.0072,772,511,0,1,1,1
0.0072,810,512,0,1,1,1
0.0073,775,512,0,1,1,1
0.0073,772,512,0,1,1,1
0.0074,772,512,0,1,1,1
0.0074,773,512,0,1,1,1
0.0074,773,512,0,1,1,1
0.0075,772,512,0,1,1,1
0.0075,772,512,0,1,1,1
0.0075,811,512,0,1,1,1
0.0076,775,512,0,1,1,1
0.0076,772,512,0,1,1,1
0.0076,773,512,0,1,1,1
0.0077,771,512,0,1,1,1
0.0077,771,512,0,1,1,1
0.0078,772,512,0,1,1,1
0.0078,772,512,0,1,1,1
0.0078,772,512,0,1,1,1
0.0079,773,512,0,1,1,1
0.0079,772,512,0,1,1,1
0.0079,811,512,0,1,1,1
0.0080,773,511,0,1,1,1
0.0080,782,512,0,1,1,1
0.0081,782,512,0,1,1,1
0.0081,783,512,0,1,1,1
0.0081,783,512,0,1,1,1
0.0082,783,515,0,1,1,1
0.0082,783,512,0,1,1,1
0.0083,782,512,0,1,1,1
0.0083,783,512,0,1,1,1
0.0083,783,512,0,1,1,1
0.0084,783,512,0,1,1,1
0.0084,772,512,0,1,1,1
0.0084,773,512,0,1,1,1
0.0085,771,511,0,1,1,1
0.0085,772,512,0,1,1,1
0.0086,772,512,0,1,1,1
0.0086,810,512,0,1,1,1
0.0086,778,512,0,1,1,1
0.0087,771,512,0,1,1,1
0.0087,772,511,0,1,1,1
0.0087,773,512,0,1,1,1
0.0088,773,512,0,1,1,1
