time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0003,784,512,1,0,0,0
0.0004,785,512,1,0,0,0
0.0005,785,512,1,0,0,0
0.0006,784,512,1,0,0,0
0.0007,784,511,1,0,0,0
0.0007,784,511,1,0,0,0
0.0008,785,511,1,0,0,0
0.0009,785,512,1,0,0,0
0.0010,784,512,1,0,0,0
0.0010,784,512,1,0,0,0
0.0011,774,512,1,0,0,0
0.0012,774,512,1,0,0,0
0.0013,774,512,1,0,0,0
0.0013,773,512,1,0,0,0
0.0014,773,512,1,0,0,0
0.0015,774,512,1,0,0,0
0.0016,774,512,1,0,0,0
0.0016,774,512,1,0,0,0
0.0017,773,511,1,0,0,0
0.0018,773,512,1,0,0,0
0.0019,774,512,1,0,0,0
0.0020,774,512,1,0,0,0
0.0020,812,511,1,0,0,0
0.0021,775,512,1,0,0,0
0.0022,774,511,1,0,0,0
0.0023,774,512,1,0,0,0
0.0023,811,512,1,0,0,0
0.0024,779,512,1,0,0,0
0.0025,774,512,1,0,0,0
0.0026,774,512,1,0,0,0
0.0027,811,512,1,0,0,0
0.0027,778,512,1,0,0,0
0.0028,773,512,1,0,0,0
0.0029,773,512,1,0,0,0
0.0030,812,512,1,0,0,0
0.0031,778,512,1,0,0,0
0.0032,773,512,1,0,0,0
0.0033,774,512,1,0,0,0
0.0033,774,512,1,0,0,0
0.0034,772,512,1,0,0,0
0.0035,773,512,1,0,0,0
0.0036,812,512,1,0,0,0
0.0036,775,512,1,0,0,0
0.0037,784,512,1,0,0,0
0.0037,783,512,1,0,0,0
0.0038,783,512,1,0,0,0
0.0038,784,512,1,0,0,0
0.0039,784,515,1,0,0,0
0.0039,783,512,1,0,0,0
0.0040,783,512,1,0,0,0
0.0040,783,512,1,0,0,0
0.0040,784,512,1,0,0,0
0.0041,784,512,1,0,0,0
0.0041,774,512,1,0,0,0
0.0042,772,511,1,0,0,0
0.0042,772,512,1,0,0,0
0.0043,773,512,1,0,0,0
0.0043,773,512,1,0,0,0
0.0044,811,512,1,0,0,0
0.0044,777,511,1,0,0,0
0.0045,773,512,1,0,0,0
0.0045,773,512,1,0,0,0
0.0046,773,511,1,0,0,0
0.0046,773,512,1,0,0,0
0.0047,772,512,1,0,0,0
0.0047,810,512,1,0,0,0
0.0048,775,512,1,0,0,0
0.0048,772,511,1,0,0,0
0.0049,772,512,1,0,0,0
0.0049,811,511,1,0,0,0
