time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0004,774,514,1,0,0,0
0.0005,774,514,1,0,0,0
0.0005,811,514,1,0,0,0
0.0006,777,516,1,0,0,0
0.0007,773,515,1,0,0,0
0.0008,773,515,1,0,0,0
0.0009,812,516,1,0,0,0
0.0009,779,513,1,0,0,0
0.0010,773,515,1,0,0,0
0.0011,774,514,1,0,0,0
0.0012,775,515,1,0,0,0
0.0012,773,514,1,0,0,0
0.0013,773,514,1,0,0,0
0.0014,811,514,1,0,0,0
0.0015,775,514,1,0,0,0
0.0015,784,516,1,0,0,0
0.0016,783,514,1,0,0,0
0.0016,783,514,1,0,0,0
0.0017,784,513,1,0,0,0
0.0017,784,523,1,0,0,0
0.0018,784,514,1,0,0,0
0.0018,784,515,1,0,0,0
0.0018,784,514,1,0,0,0
0.0019,784,515,1,0,0,0
0.0019,783,514,1,0,0,0
0.0020,773,514,1,0,0,0
0.0020,773,515,1,0,0,0
0.0021,774,515,1,0,0,0
0.0021,772,515,1,0,0,0
0.0021,773,514,1,0,0,0
0.0022,810,514,1,0,0,0
0.0022,779,514,1,0,0,0
0.0023,773,513,1,0,0,0
0.0023,772,513,1,0,0,0
0.0024,773,515,1,0,0,0
0.0024,773,514,1,0,0,0
0.0025,773,513,1,0,0,0
0.0025,811,513,1,0,0,0
0.0026,774,513,1,0,0,0
0.0026,773,512,1,0,0,0
0.0027,774,513,1,0,0,0
0.0027,810,513,1,0,0,0
0.0028,777,515,1,0,0,0
0.0028,772,514,1,0,0,0
0.0028,772,514,1,0,0,0
0.0029,811,514,1,0,0,0
0.0029,778,514,1,0,0,0
0.0030,773,514,1,0,0,0
0.0030,773,514,1,0,0,0
0.0031,773,514,1,0,0,0
0.0031,772,513,1,0,0,0
0.0032,772,514,1,0,0,0
0.0032,811,514,1,0,0,0
0.0033,776,514,1,0,0,0
0.0033,772,513,1,0,0,0
0.0033,773,515,1,0,0,0
0.0034,771,515,1,0,0,0
0.0034,791,515,1,0,0,0
0.0035,784,514,1,0,0,0
0.0035,784,515,1,0,0,0
0.0036,783,514,1,0,0,0
0.0036,783,514,1,0,0,0
0.0036,783,514,1,0,0,0
0.0037,782,514,1,0,0,0
0.0037,783,514,1,0,0,0
0.0038,783,514,1,0,0,0
0.0038,783,515,1,0,0,0
0.0038,783,515,1,0,0,0
0.0039,772,514,1,0,0,0
0.0039,773,514,1,0,0,0
0.0040,773,513,1,0,0,0
0.0040,772,514,1,0,0,0
0.0041,772,516,1,0,0,0
0.0041,810,516,1,0,0,0
0.0041,778,514,1,0,0,0
0.0042,773,515,1,0,0,0
0.0042,772,515,1,0,0,0
0.0043,772,515,1,0,0,0
0.0043,773,515,1,0,0,0
0.0044,773,514,1,0,0,0
0.0044,810,513,1,0,0,0
0.0044,775,516,1,0,0,0
0.0045,773,515,1,0,0,0
0.0045,773,515,1,0,0,0
0.0045,772,515,1,0,0,0
0.0046,772,515,1,0,0,0
0.0046,772,514,1,0,0,0
0.0047,773,514,1,0,0,0
0.0047,773,516,1,0,0,0
0.0047,771,516,1,0,0,0
0.0048,772,515,1,0,0,0
0.0048,811,515,1,0,0,0
0.0049,775,514,1,0,0,0
0.0049,772,515,1,0,0,0
0.0050,773,515,1,0,0,0
0.0050,771,515,1,0,0,0
0.0050,772,514,1,0,0,0
0.0051,772,514,1,0,0,0
0.0051,772,515,1,0,0,0
0.0051,773,516,1,0,0,0
0.0052,783,514,1,0,0,0
0.0052,783,514,1,0,0,0
0.0053,783,514,1,0,0,0
0.0053,782,514,1,0,0,0
0.0053,782,514,1,0,0,0
0.0054,783,514,1,0,0,0
0.0054,783,514,1,0,0,0
0.0055,783,516,1,0,0,0
0.0055,782,514,1,0,0,0
0.0055,782,514,1,0,0,0
0.0056,772,515,1,0,0,0
0.0056,772,515,1,0,0,0
0.0057,773,515,1,0,0,0
0.0057,773,514,1,0,0,0
0.0057,771,516,1,0,0,0
0.0058,772,516,1,0,0,0
0.0058,772,516,1,0,0,0
0.0058,772,515,1,0,0,0
0.0059,773,515,1,0,0,0
0.0059,772,516,1,0,0,0
0.0060,772,516,1,0,0,0
0.0060,772,516,1,0,0,0
0.0061,809,515,1,0,0,0
0.0061,776,516,1,0,0,0
0.0061,771,517,1,0,0,0
0.0062,772,516,1,0,0,0
0.0062,772,516,1,0,0,0
0.0063,772,515,1,0,0,0
0.0063,773,516,1,0,0,0
0.0063,771,517,1,0,0,0
0.0064,810,518,1,0,0,0
0.0064,775,517,1,0,0,0
0.0065,772,515,1,0,0,0
0.0065,772,515,1,0,0,0
0.0065,770,515,1,0,0,0
0.0066,773,514,1,0,0,0
0.0066,771,514,1,0,0,0
0.0066,771,515,1,0,0,0
0.0067,772,516,1,0,0,0
0.0067,772,515,1,0,0,0
0.0068,773,516,1,0,0,0
