time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0002,828,510,1,0,0,0
0.0003,825,510,1,0,0,0
0.0003,827,510,1,0,0,0
0.0004,827,510,1,0,0,0
0.0005,827,510,1,0,0,0
0.0006,827,510,1,0,0,0
0.0006,827,510,1,0,0,0
0.0007,827,510,1,0,0,0
0.0008,824,510,1,0,0,0
0.0009,825,510,1,0,0,0
0.0010,829,510,1,0,0,0
0.0010,829,510,1,0,0,0
0.0011,829,510,1,0,0,0
0.0012,829,510,1,0,0,0
0.0013,829,510,1,0,0,0
0.0014,829,510,1,0,0,0
0.0015,829,510,1,0,0,0
0.0015,829,510,1,0,0,0
0.0016,829,510,1,0,0,0
0.0017,829,510,1,0,0,0
0.0018,827,510,1,0,0,0
0.0019,829,510,1,0,0,0
0.0019,829,510,1,0,0,0
0.0020,830,510,1,0,0,0
0.0021,828,510,1,0,0,0
0.0022,828,510,1,0,0,0
0.0022,828,510,1,0,0,0
0.0023,828,510,1,0,0,0
0.0024,849,510,1,0,0,0
0.0025,843,511,1,0,0,0
0.0025,840,510,1,0,0,0
0.0026,841,510,1,0,0,0
0.0027,840,510,1,0,0,0
0.0028,839,510,1,0,0,0
0.0029,839,510,1,0,0,0
0.0029,839,510,1,0,0,0
0.0030,839,510,1,0,0,0
0.0031,839,510,1,0,0,0
0.0032,839,510,1,0,0,0
0.0033,826,510,1,0,0,0
0.0033,828,510,1,0,0,0
0.0034,828,510,1,0,0,0
0.0035,828,510,1,0,0,0
0.0036,828,510,1,0,0,0
0.0036,825,510,1,0,0,0
0.0037,829,510,1,0,0,0
0.0037,829,510,1,0,0,0
0.0038,829,510,1,0,0,0
0.0038,829,510,1,0,0,0
0.0039,829,510,1,0,0,0
0.0039,829,510,1,0,0,0
0.0040,826,510,1,0,0,0
0.0040,827,510,1,0,0,0
0.0041,828,510,1,0,0,0
0.0041,827,510,1,0,0,0
0.0041,825,510,1,0,0,0
0.0042,827,510,1,0,0,0
0.0042,810,510,1,0,0,0
0.0043,766,510,1,0,0,0
0.0043,827,510,1,0,0,0
0.0044,823,510,1,0,0,0
0.0044,766,510,1,0,0,0
0.0045,825,510,1,0,0,0
0.0045,827,510,1,0,0,0
0.0046,767,510,1,0,0,0
0.0046,831,510,1,0,0,0
0.0047,825,510,1,0,0,0
0.0047,765,510,1,0,0,0
0.0048,830,510,1,0,0,0
0.0048,829,510,1,0,0,0
0.0049,764,510,1,0,0,0
0.0049,843,510,1,0,0,0
0.0050,777,510,1,0,0,0
0.0050,774,510,1,0,0,0
0.0051,845,510,1,0,0,0
0.0051,777,510,1,0,0,0
0.0052,775,510,1,0,0,0
0.0052,846,510,1,0,0,0
0.0052,776,510,1,0,0,0
0.0053,777,510,1,0,0,0
0.0053,847,510,1,0,0,0
0.0054,766,510,1,0,0,0
0.0054,811,511,1,0,0,0
0.0055,837,510,1,0,0,0
0.0055,765,510,1,0,0,0
0.0056,824,510,1,0,0,0
0.0056,840,510,1,0,0,0
0.0056,766,510,1,0,0,0
0.0057,819,510,1,0,0,0
0.0057,841,510,1,0,0,0
0.0058,842,510,1,0,0,0
0.0058,766,510,1,0,0,0
0.0058,835,510,1,0,0,0
0.0059,836,510,1,0,0,0
0.0059,761,510,1,0,0,0
0.0060,836,510,1,0,0,0
0.0060,840,510,1,0,0,0
0.0060,765,510,1,0,0,0
0.0061,835,510,1,0,0,0
0.0061,846,510,1,0,0,0
0.0062,766,510,1,0,0,0
0.0062,779,510,1,0,0,0
0.0062,836,511,1,0,0,0
0.0063,764,510,1,0,0,0
0.0063,768,510,1,0,0,0
0.0063,836,510,1,0,0,0
0.0064,842,510,1,0,0,0
0.0064,766,510,1,0,0,0
0.0065,836,510,1,0,0,0
0.0065,844,511,1,0,0,0
0.0066,766,511,1,0,0,0
0.0066,776,510,1,0,0,0
0.0066,837,510,1,0,0,0
0.0067,841,510,1,0,0,0
0.0067,777,510,1,0,0,0
0.0068,847,510,1,0,0,0
0.0068,776,510,1,0,0,0
0.0068,774,511,1,0,0,0
0.0069,849,511,1,0,0,0
0.0069,861,510,1,0,0,0
0.0070,845,510,1,0,0,0
0.0070,776,510,1,0,0,0
0.0071,847,510,1,0,0,0
