time_s,emg,piezo,straining,vocal_resonance,phonation,breath_support
0.0002,772,516,1,0,0,0
0.0003,770,515,1,0,0,0
0.0003,771,515,1,0,0,0
0.0004,771,515,1,0,0,0
0.0005,771,514,1,0,0,0
0.0006,772,516,1,0,0,0
0.0006,770,514,1,0,0,0
0.0007,771,515,1,0,0,0
0.0008,771,515,1,0,0,0
0.0009,770,514,1,0,0,0
0.0009,772,516,1,0,0,0
0.0010,770,514,1,0,0,0
0.0011,771,516,1,0,0,0
0.0012,810,515,1,0,0,0
0.0013,776,515,1,0,0,0
0.0013,771,515,1,0,0,0
0.0014,771,514,1,0,0,0
0.0015,772,516,1,0,0,0
0.0016,781,515,1,0,0,0
0.0016,783,515,1,0,0,0
0.0017,782,515,1,0,0,0
0.0018,782,514,1,0,0,0
0.0018,782,516,1,0,0,0
0.0019,781,515,1,0,0,0
0.0020,783,516,1,0,0,0
0.0021,782,515,1,0,0,0
0.0022,782,515,1,0,0,0
0.0023,782,516,1,0,0,0
0.0023,771,514,1,0,0,0
0.0024,772,516,1,0,0,0
0.0025,772,515,1,0,0,0
0.0026,770,515,1,0,0,0
0.0026,771,515,1,0,0,0
0.0027,771,514,1,0,0,0
0.0028,772,516,1,0,0,0
0.0029,772,515,1,0,0,0
0.0029,770,515,1,0,0,0
0.0030,771,515,1,0,0,0
0.0031,771,514,1,0,0,0
0.0032,772,516,1,0,0,0
0.0033,810,514,1,0,0,0
0.0033,773,515,1,0,0,0
0.0034,772,515,1,0,0,0
0.0035,772,515,1,0,0,0
0.0035,810,516,1,0,0,0
0.0036,776,514,1,0,0,0
0.0036,772,516,1,0,0,0
0.0036,772,515,1,0,0,0
0.0037,810,515,1,0,0,0
0.0037,776,515,1,0,0,0
0.0038,770,514,1,0,0,0
0.0038,771,516,1,0,0,0
0.0039,810,515,1,0,0,0
0.0039,776,515,1,0,0,0
0.0039,771,515,1,0,0,0
0.0040,771,514,1,0,0,0
0.0040,772,516,1,0,0,0
0.0040,770,514,1,0,0,0
0.0041,771,516,1,0,0,0
0.0041,810,515,1,0,0,0
0.0042,773,515,1,0,0,0
0.0042,782,515,1,0,0,0
0.0042,781,514,1,0,0,0
0.0043,782,516,1,0,0,0
0.0043,783,515,1,0,0,0
0.0044,782,517,1,0,0,0
0.0044,782,515,1,0,0,0
0.0045,781,514,1,0,0,0
0.0045,782,516,1,0,0,0
0.0045,782,514,1,0,0,0
0.0046,782,515,1,0,0,0
0.0046,772,515,1,0,0,0
0.0047,770,514,1,0,0,0
0.0047,771,516,1,0,0,0
0.0047,771,514,1,0,0,0
0.0048,772,516,1,0,0,0
0.0048,810,515,1,0,0,0
0.0049,776,515,1,0,0,0
0.0049,771,516,1,0,0,0
0.0049,771,514,1,0,0,0
0.0050,772,516,1,0,0,0
0.0050,772,515,1,0,0,0
0.0051,771,515,1,0,0,0
0.0051,809,515,1,0,0,0
0.0051,775,514,1,0,0,0
0.0052,772,516,1,0,0,0
0.0052,772,514,1,0,0,0
0.0052,810,515,1,0,0,0
0.0053,776,515,1,0,0,0
0.0053,770,514,1,0,0,0
0.0054,771,516,1,0,0,0
0.0054,810,514,1,0,0,0
0.0054,776,516,1,0,0,0
0.0055,771,515,1,0,0,0
0.0055,772,515,1,0,0,0
0.0055,772,515,1,0,0,0
0.0056,770,514,1,0,0,0
0.0056,771,516,1,0,0,0
0.0056,810,515,1,0,0,0
0.0057,774,515,1,0,0,0
0.0057,772,515,1,0,0,0
0.0058,771,514,1,0,0,0
0.0058,770,516,1,0,0,0
0.0058,790,515,1,0,0,0
0.0059,783,515,1,0,0,0
0.0059,783,515,1,0,0,0
0.0059,782,514,1,0,0,0
0.0060,782,516,1,0,0,0
0.0060,781,514,1,0,0,0
0.0061,781,516,1,0,0,0
0.0061,783,515,1,0,0,0
0.0061,782,515,1,0,0,0
0.0062,782,516,1,0,0,0
0.0062,781,514,1,0,0,0
0.0063,772,516,1,0,0,0
0.0063,772,515,1,0,0,0
0.0063,772,515,1,0,0,0
0.0064,771,515,1,0,0,0
0.0064,771,514,1,0,0,0
0.0065,809,516,1,0,0,0
0.0065,778,515,1,0,0,0
0.0065,771,515,1,0,0,0
0.0066,772,515,1,0,0,0
0.0066,772,514,1,0,0,0
0.0066,771,516,1,0,0,0
0.0067,771,514,1,0,0,0
0.0067,809,516,1,0,0,0
0.0068,775,515,1,0,0,0
0.0068,772,515,1,0,0,0
0.0068,771,516,1,0,0,0
0.0069,771,514,1,0,0,0
0.0069,772,516,1,0,0,0
0.0069,772,515,1,0,0,0
0.0070,772,515,1,0,0,0
0.0070,771,516,1,0,0,0
0.0071,771,514,1,0,0,0
0.0071,772,516,1,0,0,0
0.0071,770,514,1,0,0,0
0.0072,772,515,1,0,0,0
